DO	AO1	AO1	AO2
0	1.85	0.8	0.8
25	1.2	0.8	0.8
25	1.28	0.8	0.8
25	1.32	0.8	0.8
25	1.36	0.8	0.8
25	1.4	0.8	0.8
25	1.44	0.8	0.8
25	1.48	0.8	0.8
25	1.52	0.8	0.8
25	1.56	0.8	0.8
25	1.6	0.8	0.8
25	1.64	0.8	0.8
25	1.68	0.8	0.8
25	1.72	0.8	0.8
25	1.76	0.8	0.8
25	1.8	0.8	0.8
25	1.84	0.8	0.8
25	1.88	0.8	0.8
25	1.92	0.8	0.8
25	1.96	0.8	0.8
25	2	0.8	0.8
25	2.04	0.8	0.8
25	2.08	0.8	0.8
25	2.12	0.8	0.8
25	2.16	0.8	0.8
0	2.2	0.8	0.8
0	2.2	0.8	0.8
0	2.2	0.8	0.8
0	2.2	0.8	0.8
0	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
2	2.2	0.8	0.8
0	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
4	2.2	0.8	0.8
5	1.85	0.8	0.8
5	1.85	0.8	0.8
5	1.85	0.8	0.8
5	1.85	0.8	0.8
5	1.85	0.8	0.8
7	1.85	0.8	0.8
7	1.85	0.8	0.8
7	1.85	0.8	0.8
7	1.85	0.8	0.8
7	1.85	0.8	0.8
7	1.85	0.8	0.8
5	1.85	0.8	0.8
5	1.85	0.8	0.8
5	1.85	0.8	0.8
5	1.85	0.8	0.8
5	1.85	0.8	0.8
1	1.85	0.8	0.8
1	1.85	0.8	0.8
1	1.85	0.8	0.8
1	1.85	0.8	0.8
1	1.85	0.8	0.8
1	1.85	0.8	0.8
1	1.85	0.8	0.8
1	1.85	0.8	0.8
1	1.85	0.8	0.8
0	1.85	0.8	0.8
